"Time (s)","Peak-Frequency"
8.500688608E1,2.578125000E2
8.510312277E1,1.171875000E2
8.519607900E1,1.171875000E2
8.529609101E1,1.875000000E2
8.539664270E1,1.171875000E2
8.549460616E1,1.171875000E2
8.559684831E1,2.008593750E4
8.569609316E1,2.029687500E4
8.579677847E1,1.640625000E2
8.589634585E1,2.578125000E2
8.599720924E1,2.343750000E2
8.609577931E1,2.109375000E2
8.619640585E1,1.992187500E4
8.629691047E1,2.578125000E2
8.639627970E1,2.812500000E2
8.649272331E1,2.578125000E2
8.659413785E1,1.640625000E2
8.669463077E1,2.036718750E4
8.679621539E1,5.625000000E2
